Data type,Cancer group/site,Year,Sex,Age group (years),Count,"Age-specific rate (per 100,000)","Age-standardised rate 2001 Australian Standard Population (per 100,000)","Age-standardised rate 2023 Australian population  (per 100,000)","Age-standardised rate  (WHO) (per 100,000)","Age-standardised rate  (Segi) (per 100,000)",Column L,ICD10 codes,Age group code
Actual,Melanoma of the skin,1981,Females,80–84,17,16.7,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1981,Females,85–89,13,24.9,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,1981,Females,90+,1,4.4,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,1981,Females,All ages combined,207,2.8,3.2,3.8,2.4,2.2,NULL,C43,20
Actual,Melanoma of the skin,1981,Males,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,1981,Males,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,1981,Males,10–14,1,0.1,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,1981,Males,15–19,1,0.2,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1981,Males,20–24,4,0.6,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,1981,Males,25–29,20,3.2,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1981,Males,30–34,22,3.5,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1981,Males,35–39,19,3.8,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,1981,Males,40–44,15,3.5,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,1981,Males,45–49,27,7.2,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,1981,Males,50–54,32,8.1,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,1981,Males,55–59,52,14,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,1981,Males,60–64,42,14.4,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,1981,Males,65–69,44,17.6,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,1981,Males,70–74,41,23.3,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,1981,Males,75–79,29,27.3,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,1981,Males,80–84,13,25,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1981,Males,85–89,2,9.8,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,1981,Males,90+,0,0,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,1981,Males,All ages combined,364,4.9,6.1,7.2,4.9,4.4,NULL,C43,20
Actual,Melanoma of the skin,1981,Persons,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,1981,Persons,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,1981,Persons,10–14,1,0.1,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,1981,Persons,15–19,2,0.2,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1981,Persons,20–24,5,0.4,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,1981,Persons,25–29,25,2,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1981,Persons,30–34,27,2.2,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1981,Persons,35–39,35,3.5,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,1981,Persons,40–44,27,3.2,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,1981,Persons,45–49,36,4.9,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,1981,Persons,50–54,54,7,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,1981,Persons,55–59,75,10.1,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,1981,Persons,60–64,57,9.3,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,1981,Persons,65–69,69,12.9,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,1981,Persons,70–74,64,15.9,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,1981,Persons,75–79,48,18.4,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,1981,Persons,80–84,30,19.5,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1981,Persons,85–89,15,20.6,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,1981,Persons,90+,1,3.3,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,1981,Persons,All ages combined,571,3.8,4.6,5.4,3.6,3.2,NULL,C43,20
Actual,Melanoma of the skin,1982,Females,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,1982,Females,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,1982,Females,10–14,0,0,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,1982,Females,15–19,1,0.2,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1982,Females,20–24,3,0.5,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,1982,Females,25–29,9,1.5,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1982,Females,30–34,11,1.8,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1982,Females,35–39,9,1.7,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,1982,Females,40–44,13,3.1,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,1982,Females,45–49,13,3.6,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,1982,Females,50–54,20,5.3,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,1982,Females,55–59,14,3.8,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,1982,Females,60–64,17,5.1,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,1982,Females,65–69,29,10,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,1982,Females,70–74,29,12.4,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,1982,Females,75–79,18,11.2,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,1982,Females,80–84,13,12.4,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1982,Females,85–89,12,22.4,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,1982,Females,90+,5,20.7,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,1982,Females,All ages combined,216,2.8,3.2,3.9,2.5,2.2,NULL,C43,20
Actual,Melanoma of the skin,1982,Males,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,1982,Males,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,1982,Males,10–14,1,0.1,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,1982,Males,15–19,3,0.5,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1982,Males,20–24,7,1,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,1982,Males,25–29,5,0.8,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1982,Males,30–34,19,3.1,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1982,Males,35–39,25,4.6,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,1982,Males,40–44,23,5.2,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,1982,Males,45–49,30,7.8,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,1982,Males,50–54,39,9.9,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,1982,Males,55–59,42,11.2,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,1982,Males,60–64,36,11.8,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,1982,Males,65–69,59,23.4,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,1982,Males,70–74,49,26.7,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,1982,Males,75–79,21,19,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,1982,Males,80–84,14,25.5,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1982,Males,85–89,5,24,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,1982,Males,90+,2,26.1,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,1982,Males,All ages combined,380,5,6.4,7.6,5,4.5,NULL,C43,20
Actual,Melanoma of the skin,1982,Persons,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,1982,Persons,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,1982,Persons,10–14,1,0.1,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,1982,Persons,15–19,4,0.3,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1982,Persons,20–24,10,0.7,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,1982,Persons,25–29,14,1.1,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1982,Persons,30–34,30,2.4,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1982,Persons,35–39,34,3.2,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,1982,Persons,40–44,36,4.2,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,1982,Persons,45–49,43,5.7,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,1982,Persons,50–54,59,7.7,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,1982,Persons,55–59,56,7.5,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,1982,Persons,60–64,53,8.3,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,1982,Persons,65–69,88,16.2,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,1982,Persons,70–74,78,18.7,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,1982,Persons,75–79,39,14.3,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,1982,Persons,80–84,27,16.9,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1982,Persons,85–89,17,22.8,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,1982,Persons,90+,7,22,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,1982,Persons,All ages combined,596,3.9,4.7,5.6,3.7,3.3,NULL,C43,20
Actual,Melanoma of the skin,1983,Females,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,1983,Females,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,1983,Females,10–14,0,0,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,1983,Females,15–19,2,0.3,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1983,Females,20–24,3,0.5,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,1983,Females,25–29,9,1.4,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1983,Females,30–34,8,1.3,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1983,Females,35–39,8,1.4,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,1983,Females,40–44,19,4.4,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,1983,Females,45–49,23,6.2,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,1983,Females,50–54,19,5.2,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,1983,Females,55–59,29,7.8,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,1983,Females,60–64,25,7.3,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,1983,Females,65–69,28,9.6,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,1983,Females,70–74,27,11.1,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,1983,Females,75–79,27,16,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,1983,Females,80–84,13,12,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1983,Females,85–89,15,27.3,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,1983,Females,90+,6,23.6,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,1983,Females,All ages combined,261,3.4,3.9,4.6,3,2.7,NULL,C43,20
Actual,Melanoma of the skin,1983,Males,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,1983,Males,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,1983,Males,10–14,0,0,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,1983,Males,15–19,1,0.2,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1983,Males,20–24,7,1,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,1983,Males,25–29,7,1.1,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1983,Males,30–34,21,3.4,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1983,Males,35–39,22,3.8,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,1983,Males,40–44,24,5.3,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,1983,Males,45–49,16,4.1,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,1983,Males,50–54,35,9.1,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,1983,Males,55–59,43,11.3,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,1983,Males,60–64,51,16,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,1983,Males,65–69,43,17.1,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,1983,Males,70–74,42,22,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,1983,Males,75–79,24,20.8,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,1983,Males,80–84,18,31.2,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1983,Males,85–89,7,33.1,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,1983,Males,90+,1,12.7,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,1983,Males,All ages combined,362,4.7,6,7.2,4.7,4.2,NULL,C43,20
Actual,Melanoma of the skin,1983,Persons,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,1983,Persons,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,1983,Persons,10–14,0,0,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,1983,Persons,15–19,3,0.2,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1983,Persons,20–24,10,0.7,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,1983,Persons,25–29,16,1.3,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1983,Persons,30–34,29,2.3,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1983,Persons,35–39,30,2.6,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,1983,Persons,40–44,43,4.8,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,1983,Persons,45–49,39,5.1,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,1983,Persons,50–54,54,7.2,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,1983,Persons,55–59,72,9.6,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,1983,Persons,60–64,76,11.5,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,1983,Persons,65–69,71,13.1,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,1983,Persons,70–74,69,15.9,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,1983,Persons,75–79,51,17.9,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,1983,Persons,80–84,31,18.7,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1983,Persons,85–89,22,28.9,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,1983,Persons,90+,7,21,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,1983,Persons,All ages combined,623,4,4.9,5.8,3.8,3.4,NULL,C43,20
Actual,Melanoma of the skin,1984,Females,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,1984,Females,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,1984,Females,10–14,0,0,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,1984,Females,15–19,2,0.3,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1984,Females,20–24,2,0.3,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,1984,Females,25–29,6,0.9,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1984,Females,30–34,11,1.8,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1984,Females,35–39,14,2.4,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,1984,Females,40–44,16,3.5,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,1984,Females,45–49,19,4.9,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,1984,Females,50–54,13,3.6,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,1984,Females,55–59,17,4.5,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,1984,Females,60–64,27,7.6,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,1984,Females,65–69,26,9,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,1984,Females,70–74,32,12.7,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,1984,Females,75–79,22,12.5,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,1984,Females,80–84,20,17.7,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1984,Females,85–89,11,19.6,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,1984,Females,90+,5,18.5,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,1984,Females,All ages combined,243,3.1,3.5,4.1,2.7,2.4,NULL,C43,20
Actual,Melanoma of the skin,1984,Males,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,1984,Males,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,1984,Males,10–14,0,0,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,1984,Males,15–19,2,0.3,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1984,Males,20–24,6,0.9,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,1984,Males,25–29,13,2,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1984,Males,30–34,19,3,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1984,Males,35–39,21,3.5,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,1984,Males,40–44,21,4.4,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,1984,Males,45–49,27,6.7,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,1984,Males,50–54,39,10.3,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,1984,Males,55–59,49,12.8,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,1984,Males,60–64,59,17.6,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,1984,Males,65–69,52,20.9,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,1984,Males,70–74,36,18.1,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,1984,Males,75–79,29,24.1,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,1984,Males,80–84,14,22.9,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1984,Males,85–89,6,27.4,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,1984,Males,90+,4,48.3,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,1984,Males,All ages combined,397,5.1,6.4,7.8,5,4.5,NULL,C43,20
Actual,Melanoma of the skin,1984,Persons,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,1984,Persons,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,1984,Persons,10–14,0,0,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,1984,Persons,15–19,4,0.3,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1984,Persons,20–24,8,0.6,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,1984,Persons,25–29,19,1.5,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1984,Persons,30–34,30,2.4,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1984,Persons,35–39,35,3,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,1984,Persons,40–44,37,4,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,1984,Persons,45–49,46,5.8,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,1984,Persons,50–54,52,7,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,1984,Persons,55–59,66,8.7,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,1984,Persons,60–64,86,12.4,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,1984,Persons,65–69,78,14.5,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,1984,Persons,70–74,68,15.1,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,1984,Persons,75–79,51,17.2,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,1984,Persons,80–84,34,19.5,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1984,Persons,85–89,17,21.7,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,1984,Persons,90+,9,25.5,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,1984,Persons,All ages combined,640,4.1,4.8,5.8,3.8,3.4,NULL,C43,20
Actual,Melanoma of the skin,1985,Females,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,1985,Females,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,1985,Females,10–14,0,0,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,1985,Females,15–19,2,0.3,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1985,Females,20–24,1,0.2,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,1985,Females,25–29,8,1.2,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1985,Females,30–34,14,2.2,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1985,Females,35–39,15,2.5,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,1985,Females,40–44,11,2.3,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,1985,Females,45–49,21,5.3,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,1985,Females,50–54,25,7,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,1985,Females,55–59,30,8,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,1985,Females,60–64,26,7.1,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,1985,Females,65–69,26,8.9,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,1985,Females,70–74,20,7.7,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,1985,Females,75–79,22,12,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,1985,Females,80–84,21,18.2,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1985,Females,85–89,12,19.9,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,1985,Females,90+,15,52.5,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,1985,Females,All ages combined,269,3.4,3.8,4.6,2.9,2.6,NULL,C43,20
Actual,Melanoma of the skin,1985,Males,00–04,1,0.2,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,1985,Males,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,1985,Males,10–14,0,0,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,1985,Males,15–19,5,0.7,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1985,Males,20–24,6,0.9,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,1985,Males,25–29,14,2.1,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1985,Males,30–34,14,2.2,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1985,Males,35–39,27,4.3,NULL,NULL,NULL,NULL,NULL,C43,8
