Data type,Cancer group/site,Year,Sex,Age group (years),Count,"Age-specific rate (per 100,000)","Age-standardised rate 2001 Australian Standard Population (per 100,000)","Age-standardised rate 2023 Australian population  (per 100,000)","Age-standardised rate  (WHO) (per 100,000)","Age-standardised rate  (Segi) (per 100,000)",Column L,ICD10 codes,Age group code
Actual,Melanoma of the skin,1971,Persons,40–44,36,4.5,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,1971,Persons,45–49,38,4.8,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,1971,Persons,50–54,50,7.4,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,1971,Persons,55–59,39,6.3,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,1971,Persons,60–64,26,5,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,1971,Persons,65–69,26,6.5,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,1971,Persons,70–74,27,9,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,1971,Persons,75–79,13,6.4,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,1971,Persons,80–84,15,12.3,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1971,Persons,85–89,5,9.9,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,1971,Persons,90+,3,18,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,1971,Persons,All ages combined,351,2.7,3.4,3.8,2.8,2.5,NULL,C43,20
Actual,Melanoma of the skin,1972,Females,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,1972,Females,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,1972,Females,10–14,0,0,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,1972,Females,15–19,0,0,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1972,Females,20–24,7,1.3,NULL,NULL,NULL,NULL,NULL,C43,5
