state,year,sex,cases
Australian Capital Territory,2017,Males,107.0
Northern Territory,2017,Males,52.0
New South Wales,2017,Persons,4920.0
Victoria,2017,Persons,2982.0
Queensland,2017,Persons,4150.0
Western Australia,2017,Persons,1462.0
South Australia,2017,Persons,803.0
Tasmania,2017,Persons,339.0
Australian Capital Territory,2017,Persons,184.0
Northern Territory,2017,Persons,81.0
New South Wales,2018,Females,2022.0
Victoria,2018,Females,1311.0
Queensland,2018,Females,1735.0
Western Australia,2018,Females,626.0
South Australia,2018,Females,310.0
Tasmania,2018,Females,196.0
Australian Capital Territory,2018,Females,81.0
Northern Territory,2018,Females,30.0
New South Wales,2018,Males,2984.0
Victoria,2018,Males,1763.0
Queensland,2018,Males,2343.0
Western Australia,2018,Males,863.0
South Australia,2018,Males,479.0
Tasmania,2018,Males,205.0
Australian Capital Territory,2018,Males,114.0
Northern Territory,2018,Males,52.0
New South Wales,2018,Persons,5006.0
Victoria,2018,Persons,3075.0
Queensland,2018,Persons,4078.0
Western Australia,2018,Persons,1489.0
South Australia,2018,Persons,789.0
Tasmania,2018,Persons,401.0
Australian Capital Territory,2018,Persons,195.0
Northern Territory,2018,Persons,83.0
New South Wales,2019,Females,2075.0
Victoria,2019,Females,1201.0
Queensland,2019,Females,1845.0
Western Australia,2019,Females,680.0
South Australia,2019,Females,358.0
Tasmania,2019,Females,188.0
Australian Capital Territory,2019,Females,86.0
Northern Territory,2019,Females,33.0
New South Wales,2019,Males,3003.0
Victoria,2019,Males,1631.0
Queensland,2019,Males,2602.0
Western Australia,2019,Males,949.0
South Australia,2019,Males,546.0
Tasmania,2019,Males,224.0
Australian Capital Territory,2019,Males,120.0
Northern Territory,2019,Males,55.0
New South Wales,2019,Persons,5078.0
Victoria,2019,Persons,2832.0
Queensland,2019,Persons,4447.0
Western Australia,2019,Persons,1629.0
South Australia,2019,Persons,904.0
Tasmania,2019,Persons,412.0
Australian Capital Territory,2019,Persons,205.0
Northern Territory,2019,Persons,88.0
