Data type,Cancer group/site,Year,Sex,State or Territory,Count,"Age-standardised rate 2001 Australian Standard Population  (per 100,000)","Age-standardised rate 2023 Australian population  (per 100,000)",Column I,ICD-10 codes,Column K,Column L
Incidence,Melanoma of the skin,1984,Females,South Australia,160,24.2,27,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1984,Females,Tasmania,35,18.2,21,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1984,Females,Australian Capital Territory,NULL,NULL,NULL,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1984,Females,Northern Territory,NULL,NULL,NULL,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1984,Females,Australia,2050,28.8,31.5,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1984,Males,New South Wales,762,33.8,39.4,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1984,Males,Victoria,331,19.1,21.9,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1984,Males,Queensland,535,52.7,60.6,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1984,Males,Western Australia,173,31.5,36.5,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1984,Males,South Australia,124,21.4,24.2,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1984,Males,Tasmania,31,18.1,20.7,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1984,Males,Australian Capital Territory,NULL,NULL,NULL,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1984,Males,Northern Territory,NULL,NULL,NULL,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1984,Males,Australia,1994,31.2,36,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1984,Persons,New South Wales,1500,30.9,34.7,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1984,Persons,Victoria,745,20.4,22.8,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1984,Persons,Queensland,1039,48.4,54.2,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1984,Persons,Western Australia,347,29.8,33.5,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1984,Persons,South Australia,284,22.8,25.6,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1984,Persons,Tasmania,66,18.1,20.9,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1984,Persons,Australian Capital Territory,NULL,NULL,NULL,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1984,Persons,Northern Territory,NULL,NULL,NULL,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1984,Persons,Australia,4044,29.6,33.2,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1985,Females,New South Wales,780,30,32.8,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1985,Females,Victoria,472,24.6,26.7,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1985,Females,Queensland,540,46.9,50.6,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1985,Females,Western Australia,208,34.3,37,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1985,Females,South Australia,198,29.9,33.4,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1985,Females,Tasmania,49,24.5,26.2,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1985,Females,Australian Capital Territory,NULL,NULL,NULL,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1985,Females,Northern Territory,NULL,NULL,NULL,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1985,Females,Australia,2288,31.4,34.1,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1985,Males,New South Wales,831,36,41.9,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1985,Males,Victoria,396,23.2,26.6,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1985,Males,Queensland,547,51.4,60,NULL,C43,NULL,NULL
